0.000	0.000
0.005	-2.951E-4
0.010	-2.509E-6
0.015	4.845E-4
0.020	8.595E-4
0.025	0.190
0.030	0.191
0.035	0.193
0.040	0.382
0.045	0.384
0.050	0.575
0.055	0.577
0.060	0.767
0.065	0.958
0.070	0.961
0.075	1.152
0.080	1.344
0.085	1.536
0.090	1.729
0.095	1.920
0.100	2.113
0.105	2.306
0.110	2.498
0.115	2.691
0.120	2.981
0.125	3.263
0.130	3.459
0.135	3.749
0.140	4.034
0.145	4.325
0.150	4.613
0.155	4.902
0.160	5.286
0.165	5.669
0.170	5.864
0.175	6.247
0.180	6.631
0.185	7.015
0.190	7.400
0.195	7.882
0.200	8.266
0.205	8.651
0.210	9.035
0.215	9.422
0.220	9.994
0.225	10.38
0.230	10.86
0.235	11.44
0.240	11.82
0.245	12.40
0.250	12.88
0.255	13.36
0.260	13.84
0.265	14.42
0.270	15.00
0.275	15.57
0.280	16.15
0.285	16.73
0.290	17.40
0.295	17.98
0.300	18.55
0.305	19.13
0.310	19.81
0.315	20.57
0.320	21.15
0.325	21.91
0.330	22.49
0.335	23.17
0.340	23.94
0.345	24.70
0.350	25.38
0.355	26.15
0.360	26.92
0.365	27.69
0.370	28.36
0.375	29.13
0.380	29.90
0.385	30.67
0.390	31.44
0.395	32.30
0.400	33.07
0.405	33.94
0.410	34.80
0.415	35.67
0.420	36.44
0.425	37.39
0.430	38.26
0.435	39.22
0.440	40.09
0.445	40.95
0.450	41.82
0.455	42.78
0.460	43.74
0.465	44.61
0.470	45.57
0.475	46.53
0.480	47.59
0.485	48.55
0.490	49.51
0.495	50.57
0.500	51.53
0.505	52.59
0.510	53.55
